#see python docstring for reference information
Nuclide,f1,GENII,EPA,DOE,GENII/EPA,DOE/EPA
Pm-147,0.0003,1.06E-006,1.05E-006,9.50E-007,0.9,
Sm-147,0.0003,1.86E-004,1.85E-004,1.80E-004,,
Sm-151,0.0003,3.87E-007,3.89E-007,3.40E-007,0.87,
Eu-150,0.001,6.34E-006,6.36E-006,6.20E-006,,
Eu-152,0.001,6.48E-006,6.48E-006,6.00E-006,0.93,
Eu-154,0.001,9.61E-006,9.55E-006,9.10E-006,,
Eu-155,0.001,1.53E-006,1.53E-006,1.30E-006,0.85,
Gd-152,0.0003,1.61E-004,1.61E-004,1.50E-004,0.93,
Ho-166m,0.0003,8.13E-006,8.07E-006,7.80E-006,,
Re-187,0.8,1.45E-008,9.51E-009,8.30E-009,1.52,0.87
Tl-204,1,3.46E-006,3.36E-006,3.20E-006,,
Pb-205,0.2,1.64E-006,1.63E-006,1.50E-006,0.92,
Pb-210+D,0.2,5.40E-003,5.37E-003,5.11E-003,,
Bi-207,0.05,5.49E-006,5.48E-006,4.90E-006,0.89,
Po-209,0.1,2.39E-003,2.38E-003,2.00E-003,0.84,
Po-210,0.1,1.90E-003,1.90E-003,1.60E-003,0.84,
Ra-226+D,0.2,9.51E-004,1.33E-003,1.10E-003,0.72,0.83
Ra-228+D,0.2,8.44E-004,1.44E-003,1.20E-003,0.59,0.83
Ac-227+D,0.001,1.44E-002,1.48E-002,1.46E-002,,
Th-228+D,0.0002,5.79E-004,8.11E-004,7.54E-004,0.71,0.93
Th-229+D,0.0002,3.87E-003,4.03E-003,3.91E-003,,
Th-230,0.0002,5.48E-004,5.48E-004,5.30E-004,,
Th-232,0.0002,2.73E-003,2.73E-003,2.80E-003,,
Pa-231,0.001,1.06E-002,1.06E-002,1.10E-002,,
U-232,0.05,1.31E-003,1.31E-003,1.30E-003,,
U-233,0.05,2.90E-004,2.89E-004,2.70E-004,0.93,
U-234,0.05,2.84E-004,2.83E-004,2.60E-004,0.92,
U-235+D,0.05,2.67E-004,2.67E-004,2.51E-004,0.94,
U-236,0.05,2.69E-004,2.69E-004,2.50E-004,0.93,
U-238+D,0.05,2.70E-004,2.68E-004,2.43E-004,0.91,
Np-237+D,0.001,5.22E-003,4.44E-003,3.90E-003,1.18,0.88
Pu-236,0.001,1.16E-003,1.17E-003,1.30E-003,1.11,
Pu-238,0.001,3.19E-003,3.20E-003,3.80E-003,1.19,
Pu-239,0.001,3.53E-003,3.54E-003,4.30E-003,1.21,
Pu-240,0.001,3.53E-003,3.54E-003,4.30E-003,1.21,
Pu-241+D,0.001,6.79E-005,6.85E-005,8.60E-005,1.26,
Pu-242,0.001,3.35E-003,3.36E-003,4.10E-003,1.22,
Pu-244+D,0.001,3.32E-003,3.32E-003,4.00E-003,1.2,
Am-241,0.001,3.62E-003,3.64E-003,4.50E-003,1.24,
Am-242m+D,0.001,3.50E-003,3.52E-003,4.20E-003,1.19,
Am-243+D,0.001,3.62E-003,3.63E-003,4.50E-003,1.24,
Cm-242,0.001,1.15E-004,1.15E-004,1.10E-004,,
Cm-243,0.001,2.50E-003,2.51E-003,2.90E-003,1.16,
Cm-244,0.001,2.01E-003,2.02E-003,2.30E-003,1.14,
Cm-245,0.001,3.73E-003,3.74E-003,4.50E-003,1.2,
Cm-246,0.001,3.70E-003,3.70E-003,4.50E-003,1.22,
Cm-247+D,0.001,3.40E-003,3.42E-003,4.10E-003,1.2,
Cm-248,0.001,1.36E-002,1.36E-002,1.60E-002,1.18,
Cm-250+D,0.001,7.76E-002,7.77E-002,7.77E-002,,
Bk-247,0.001,3.81E-003,4.70E-003,2.30E-003,0.81,0.49
Cf-248,0.001,3.39E-004,3.34E-004,2.80E-004,0.84,
Cf-249,0.001,4.75E-003,4.74E-003,4.60E-003,,
Cf-250,0.001,2.13E-003,2.13E-003,1.90E-003,0.89,
Cf-251,0.001,4.82E-003,4.85E-003,4.60E-003,0.95,
Cf-252,0.001,1.09E-003,1.08E-003,9.40E-004,0.87,
